"cancer_type" "species" "correlation"
"intestine" "Balaenoptera_acutorostrata" 0.171577784434816
"kidney" "Balaenoptera_acutorostrata" 0.316721912458234
"leukaemia" "Balaenoptera_acutorostrata" 0.122914323070168
"liver" "Balaenoptera_acutorostrata" 0.247838784770669
"lung" "Balaenoptera_acutorostrata" 0.256130872201288
"lymphoma" "Balaenoptera_acutorostrata" 0.211990033649136
"melanoma" "Balaenoptera_acutorostrata" 0.252807303343792
"mesothelioma" "Balaenoptera_acutorostrata" 0.235605715526436
"oesophagus" "Balaenoptera_acutorostrata" 0.0882793625720535
"other tumour types" "Balaenoptera_acutorostrata" 0.242378993224168
"ovarian" "Balaenoptera_acutorostrata" 0.220030163793824
"paediatric" "Balaenoptera_acutorostrata" 0.288030301577143
"pancreas" "Balaenoptera_acutorostrata" 0.149058580208412
"prostate" "Balaenoptera_acutorostrata" 0.17964061025751
"rare other tumour types" "Balaenoptera_acutorostrata" -0.379857824191475
"renal" "Balaenoptera_acutorostrata" 0.149407202391751
"sarcoma" "Balaenoptera_acutorostrata" 0.180976953006091
"skin" "Balaenoptera_acutorostrata" 0.171231426742948
"small intestine" "Balaenoptera_acutorostrata" 0.16362272947672
"soft tissue sarcoma" "Balaenoptera_acutorostrata" 0.303037698499049
"testicular" "Balaenoptera_acutorostrata" -0.0618622063912885
"thyroid" "Balaenoptera_acutorostrata" 0.250027858609825
"urothelial" "Balaenoptera_acutorostrata" 0.210931478785961
"uterine" "Balaenoptera_acutorostrata" 0.127063898125056
"all" "Balaenoptera_bonaerensis" 0.200038950544151
"bladder" "Balaenoptera_bonaerensis" 0.230071048298654
"breast" "Balaenoptera_bonaerensis" 0.1586679774689
"central nervous system" "Balaenoptera_bonaerensis" 0.173399580950827
"colon" "Balaenoptera_bonaerensis" 0.261122978904521
"colorectal" "Balaenoptera_bonaerensis" 0.225123313367587
"endometrial" "Balaenoptera_bonaerensis" 0.151684494033698
"gastric" "Balaenoptera_bonaerensis" 0.181958966557709
"glioma" "Balaenoptera_bonaerensis" 0.200953642718952
"head and neck" "Balaenoptera_bonaerensis" 0.241552515401071
"hepatocellular" "Balaenoptera_bonaerensis" 0.2220140973128
"intestine" "Balaenoptera_bonaerensis" 0.168672777910441
"kidney" "Balaenoptera_bonaerensis" 0.312423003716305
